"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","view_history","question_order","phase","trial_name","trial_num","key_selected","person_selected","first_product","reward1","second_product","reward2","left_person","right_person","prob_product1","prob_product2","prob_product3","prob_product4","prob_product5","counterbalance"
"pavlovia","0","1013","0.0-0.0","5c519ec789254700019f7934","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","16230","0.0-1.0","5c519ec789254700019f7934","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","19760","0.0-2.0","5c519ec789254700019f7934","","","","","","3521","<h2><b>Consent to participate in a research:</b></h2><p><strong>You will be paid only after participating in each of the 4 days (including today).</p>","1","","","","","","","","","","","","","","","","","","",""
"fullscreen","3","22762","0.0-3.0","5c519ec789254700019f7934","true","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","4","301920","0.0-4.0-0.0","5c519ec789254700019f7934","","","","","","279153","","","[{""page_index"":0,""viewing_time"":4234},{""page_index"":1,""viewing_time"":2817},{""page_index"":2,""viewing_time"":5479},{""page_index"":3,""viewing_time"":64145},{""page_index"":4,""viewing_time"":14386},{""page_index"":5,""viewing_time"":15880},{""page_index"":6,""viewing_time"":6361},{""page_index"":7,""viewing_time"":25087},{""page_index"":8,""viewing_time"":7583},{""page_index"":9,""viewing_time"":9411},{""page_index"":10,""viewing_time"":9198},{""page_index"":11,""viewing_time"":11591},{""page_index"":12,""viewing_time"":7316},{""page_index"":13,""viewing_time"":8977},{""page_index"":14,""viewing_time"":11091},{""page_index"":15,""viewing_time"":7385},{""page_index"":16,""viewing_time"":14343},{""page_index"":17,""viewing_time"":6644},{""page_index"":18,""viewing_time"":7326},{""page_index"":19,""viewing_time"":8196},{""page_index"":20,""viewing_time"":15163},{""page_index"":21,""viewing_time"":14189},{""page_index"":22,""viewing_time"":2324}]","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","5","385083","0.0-4.0-1.0","5c519ec789254700019f7934","","","","","","83106","","{""number_persons"":""5"",""number_candidates"":""2"",""number_products"":""2"",""choose_candidate"":""Press the 'S' or 'K' key with your LEFT or RIGHT hand"",""transported_product"":""False, each delivery person can only deliver two products"",""product_person"":""False, the book has the same demand no matter who is delivering it"",""value_change"":""True, as in real markets the demand may slowly change"",""game_goal"":""The goal is to choose the best I can and earn as much bonus money as I can"",""independence"":""False, each product has its own demand in the market"",""location"":""The demand for the products is the same regardless of whether the chosen delivery person appears on the left or on the right""}","","[0,1,2,3,4,5,6,7,8,9]","","","","","","","","","","","","","","","","",""
"instructions","6","403259","0.0-5.0","5c519ec789254700019f7934","","","","","","18156","","","[{""page_index"":0,""viewing_time"":4397},{""page_index"":1,""viewing_time"":3555},{""page_index"":2,""viewing_time"":2103},{""page_index"":3,""viewing_time"":3315},{""page_index"":4,""viewing_time"":2072},{""page_index"":5,""viewing_time"":2712}]","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","408687","0.0-6.0","5c519ec789254700019f7934","","","","","","5419","<div>We will now do a few practice trials. <br> Please be ready with your fingers on <b>s</b> and <b>k</b><br><br> <img class=keyboard src='images/examples/keyboard.png'>  <br><br> <b> Press any key to begin</b></div>"," ","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","8","411077","0.0-7.0-0.0","5c519ec789254700019f7934","","","","","","1370","<img class=left_person src='images/persons/person1.jpg'><img class=right_person src='images/persons/person5.jpg'><div class=""fixation"">+</div>","s","","","practice","choice","0","","","","","","","","","","","","","",""
"html-keyboard-response","9","411837","0.0-7.0-1.0","5c519ec789254700019f7934","","","","","","null","<img class=left_person src='images/persons/person1.jpg'><div class=""fixation"">+</div>","null","","","practice","show_choice","0","0","0","","","","","","","","","","","",""
