"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","view_history","choice","is_correct","counterbalance","phase","trial_name","trial_num","correct_response","counter_correct","counter_errors"
"pavlovia","0","1404","0.0-0.0","5c519ec789254700019f7934","","","","","","","","","","","","","","","","","",""
"html-button-response","1","5869","0.0-1.0","5c519ec789254700019f7934","4461","<h2><b>Consent to participate in a research:</b></h2><p><strong>You will be paid only after participating in each of the 4 days (including today).</p>","1","","","","","","","","","","","","","","",""
"preload","2","14080","0.0-2.0","5c519ec789254700019f7934","","","","true","false","[]","[]","[]","","","","","","","","","",""
"fullscreen","3","16711","0.0-3.0","5c519ec789254700019f7934","","","","true","","","","","","","","","","","","","",""
"instructions","4","119813","0.0-4.0","5c519ec789254700019f7934","103091","","","","","","","","[{""page_index"":0,""viewing_time"":14610},{""page_index"":1,""viewing_time"":4239},{""page_index"":2,""viewing_time"":4051},{""page_index"":3,""viewing_time"":2428},{""page_index"":4,""viewing_time"":1536},{""page_index"":5,""viewing_time"":2889},{""page_index"":6,""viewing_time"":12081},{""page_index"":7,""viewing_time"":16922},{""page_index"":8,""viewing_time"":1664},{""page_index"":9,""viewing_time"":2917},{""page_index"":10,""viewing_time"":13784},{""page_index"":11,""viewing_time"":6030},{""page_index"":12,""viewing_time"":4385},{""page_index"":13,""viewing_time"":4007},{""page_index"":14,""viewing_time"":1939},{""page_index"":15,""viewing_time"":9592}]","","","","","","","","",""
"html-button-response","5","123924","0.0-5.0-0.0","5c519ec789254700019f7934","","","","","","","","","","0","true","0","","","","","",""
"html-keyboard-response","6","124944","0.0-5.0-1.0","5c519ec789254700019f7934","null","<b>Correct!</b>","null","","","","","","","","","","model_learning","click_correct","0","","",""
"html-button-response","7","126530","0.0-5.1-0.1","5c519ec789254700019f7934","","","","","","","","","","1","true","0","","","","","",""
"html-keyboard-response","8","127541","0.0-5.1-1.1","5c519ec789254700019f7934","null","<b>Correct!</b>","null","","","","","","","","","","model_learning","click_correct","0","","",""
"html-button-response","9","129068","0.0-5.2-0.2","5c519ec789254700019f7934","","","","","","","","","","0","true","0","","","","","",""
"html-keyboard-response","10","130077","0.0-5.2-1.2","5c519ec789254700019f7934","null","<b>Correct!</b>","null","","","","","","","","","","model_learning","click_correct","0","","",""
"html-button-response","11","131341","0.0-5.3-0.3","5c519ec789254700019f7934","","","","","","","","","","1","true","0","","","","","",""
"html-keyboard-response","12","132357","0.0-5.3-1.3","5c519ec789254700019f7934","null","<b>Correct!</b>","null","","","","","","","","","","model_learning","click_correct","0","","",""
