"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","view_history","choice","is_correct","counterbalance","phase","trial_name","trial_num","correct_response","counter_correct","counter_errors"
"pavlovia","0","2225","0.0-0.0","662f798279ec5f7604eaaaa0","","","","","","","","","","","","","","","","","",""
"html-button-response","1","12624","0.0-1.0","662f798279ec5f7604eaaaa0","10396","<h2><b>Consent to participate in a research:</b></h2><p><strong>You will be paid only after participating in each of the 4 days (including today).</p>","1","","","","","","","","","","","","","","",""
"preload","2","55028","0.0-2.0","662f798279ec5f7604eaaaa0","","","","true","false","[]","[]","[]","","","","","","","","","",""
"fullscreen","3","64895","0.0-3.0","662f798279ec5f7604eaaaa0","","","","true","","","","","","","","","","","","","",""
"instructions","4","211040","0.0-4.0","662f798279ec5f7604eaaaa0","146141","","","","","","","","[{""page_index"":0,""viewing_time"":11536},{""page_index"":1,""viewing_time"":22795},{""page_index"":2,""viewing_time"":3407},{""page_index"":3,""viewing_time"":2676},{""page_index"":4,""viewing_time"":9937},{""page_index"":5,""viewing_time"":4015},{""page_index"":6,""viewing_time"":41288},{""page_index"":7,""viewing_time"":5959},{""page_index"":8,""viewing_time"":2770},{""page_index"":9,""viewing_time"":10271},{""page_index"":10,""viewing_time"":2473},{""page_index"":11,""viewing_time"":5811},{""page_index"":12,""viewing_time"":5305},{""page_index"":13,""viewing_time"":6172},{""page_index"":14,""viewing_time"":7083},{""page_index"":15,""viewing_time"":4557}]","","","","","","","","",""
"html-button-response","5","214192","0.0-5.0-0.0","662f798279ec5f7604eaaaa0","","","","","","","","","","1","true","0","","","","","",""
"html-keyboard-response","6","215203","0.0-5.0-1.0","662f798279ec5f7604eaaaa0","null","<b>Correct!</b>","null","","","","","","","","","","model_learning","click_correct","0","","",""
"html-button-response","7","217675","0.0-5.1-0.1","662f798279ec5f7604eaaaa0","","","","","","","","","","2","true","0","","","","","",""
"html-keyboard-response","8","218691","0.0-5.1-1.1","662f798279ec5f7604eaaaa0","null","<b>Correct!</b>","null","","","","","","","","","","model_learning","click_correct","0","","",""
"html-button-response","9","220418","0.0-5.2-0.2","662f798279ec5f7604eaaaa0","","","","","","","","","","1","true","0","","","","","",""
"html-keyboard-response","10","221422","0.0-5.2-1.2","662f798279ec5f7604eaaaa0","null","<b>Correct!</b>","null","","","","","","","","","","model_learning","click_correct","0","","",""
"html-button-response","11","222847","0.0-5.3-0.3","662f798279ec5f7604eaaaa0","","","","","","","","","","2","true","0","","","","","",""
