"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","view_history","choice","is_correct","counterbalance","phase","trial_name","trial_num","correct_response","counter_correct","counter_errors"
"pavlovia","0","1023","0.0-0.0","5c519ec789254700019f7934","","","","","","","","","","","","","","","","","",""
"html-button-response","1","47940","0.0-1.0","5c519ec789254700019f7934","46895","<h2><b>Consent to participate in a research:</b></h2><p style='text-align: left;'><strong>Greetings and thank you for your willingness to participate in this research.</strong> This study aims to examine learning mechanisms. Specifically, it seeks to improve and strengthen the diagnosis and treatment of mental disorders in the future. Hence, your participation is highly valued and contributes significantly.</p><p style='text-align: left;'>For your participation, you will receive monetary compensation. Additionally, you could win a cash bonus based on your performance (details will be provided soon). Finally, at the end of the experiment, we would appreciate discussing the research questions further and sharing the results with you.</p><p style='text-align: left;'><b>Participation Criteria:</b></p><p style='text-align: left;'>The experiment is intended for young adults aged <strong>18 to 50</strong>. You cannot participate if you regularly use psychiatric or neurological medications, have a psychiatric/neurological diagnosis (including attention deficit hyperactivity disorder - ADHD), a history of head injuries, epilepsy, learning disabilities, or color blindness.</p><p style='text-align: left;'><b>Procedure:</b></p><p style='text-align: left;'>The study will be conducted online using your computer at home. During the experiment, we will track your learning patterns through a simple computer game. The game will take place in four separate sessions. The sessions should be completed in four consecutive days. <b><u>IMPORTANT: PAYMENT WILL BE GIVEN ONLY AFTER FINISHING ALL PARTS OF THE TASK</u></b> It means you will be paid only after completing day 4. The game will display images on the screen, and you will make choices during the game to maximize profits according to rules explained during the experiment itself. The whole experiment is expected to take about 90 minutes. Upon completion of participation, compensation will be provided as agreed, and we will offer a full debriefing regarding the research goals and hypotheses.</p><p style='text-align: left;'><b>Expected Risks and Termination of the Experiment:</b></p><p style='text-align: left;'>The expected risks and discomforts in this study are minimal and include potential discomfort during the performance of the computer task. You have the right to withdraw from the experiment at any stage. In case of withdrawal, partial compensation will be provided based on the duration of your participation.</p><p style='text-align: left;'><b>Compensation for Participation:</b></p><p style='text-align: left;'>For completing the experiment, money payment will be given. <b><u>IMPORTANT: PAYMENT WILL BE GIVEN ONLY AFTER FINISHING ALL PARTS OF THE TASK</u></b> It means you will be paid only after completing all parts. In addition a cash bonus will be awarded based on performance in the task. Throughout the task, you can collect points (gold coins). At the end of the task, the number of points you have accumulated will be calculated. The amount of points depends on your ability to perform the experiment well, similar to scoring in a computer game. </p><p style='text-align: left;'><b>Anonymity and Data Protection:</b></p><p style='text-align: left;'>The information collected during the experiment will be kept solely on the lab computers and will be linked only to your PROLIFIC ID.</p>","1","","","","","","","","","","","","","","",""
"html-button-response","2","53258","0.0-2.0","5c519ec789254700019f7934","5300","<h2><b>Consent to participate in a research:</b></h2><p><strong>You will be paid only after participating in each of the 4 days (including today).</p>","1","","","","","","","","","","","","","","",""
"html-keyboard-response","3","54890","0.0-3.0","5c519ec789254700019f7934","1618","Welcome to the experiment. We will start by asking you a short question and then move on. <br><br><b>Press any key to begin</b>"," ","","","","","","","","","","","","","","",""
"survey-text","4","71517","0.0-4.0","5c519ec789254700019f7934","16580","","{""Q0"":""Cat are not loyal dogs are ""}","","","","","","","","","","","","","","",""
"preload","5","86080","0.0-5.0","5c519ec789254700019f7934","","","","true","false","[]","[]","[]","","","","","","","","","",""
"fullscreen","6","89191","0.0-6.0","5c519ec789254700019f7934","","","","true","","","","","","","","","","","","","",""
"instructions","7","203345","0.0-7.0","5c519ec789254700019f7934","114151","","","","","","","","[{""page_index"":0,""viewing_time"":4141},{""page_index"":1,""viewing_time"":9857},{""page_index"":2,""viewing_time"":4866},{""page_index"":3,""viewing_time"":5550},{""page_index"":4,""viewing_time"":6116},{""page_index"":5,""viewing_time"":11424},{""page_index"":6,""viewing_time"":5655},{""page_index"":7,""viewing_time"":10380},{""page_index"":8,""viewing_time"":9738},{""page_index"":9,""viewing_time"":11891},{""page_index"":10,""viewing_time"":10841},{""page_index"":11,""viewing_time"":6404},{""page_index"":12,""viewing_time"":4769},{""page_index"":13,""viewing_time"":5631},{""page_index"":14,""viewing_time"":2835},{""page_index"":15,""viewing_time"":4048}]","","","","","","","","",""
"html-button-response","8","205597","0.0-8.0-0.0","5c519ec789254700019f7934","","","","","","","","","","3","true","0","","","","","",""
"html-keyboard-response","9","206606","0.0-8.0-1.0","5c519ec789254700019f7934","null","<b>Correct!</b>","null","","","","","","","","","","model_learning","click_correct","0","","",""
"html-button-response","10","208301","0.0-8.1-0.1","5c519ec789254700019f7934","","","","","","","","","","2","true","0","","","","","",""
"html-keyboard-response","11","209314","0.0-8.1-1.1","5c519ec789254700019f7934","null","<b>Correct!</b>","null","","","","","","","","","","model_learning","click_correct","0","","",""
"html-button-response","12","211130","0.0-8.2-0.2","5c519ec789254700019f7934","","","","","","","","","","3","true","0","","","","","",""
"html-keyboard-response","13","212138","0.0-8.2-1.2","5c519ec789254700019f7934","null","<b>Correct!</b>","null","","","","","","","","","","model_learning","click_correct","0","","",""
"html-button-response","14","213319","0.0-8.3-0.3","5c519ec789254700019f7934","","","","","","","","","","2","true","0","","","","","",""
"html-keyboard-response","15","214332","0.0-8.3-1.3","5c519ec789254700019f7934","null","<b>Correct!</b>","null","","","","","","","","","","model_learning","click_correct","0","","",""
"html-button-response","16","222262","0.0-8.4-0.4","5c519ec789254700019f7934","","","","","","","","","","3","true","0","","","","","",""
"html-keyboard-response","17","223274","0.0-8.4-1.4","5c519ec789254700019f7934","null","<b>Correct!</b>","null","","","","","","","","","","model_learning","click_correct","0","","",""
"html-button-response","18","226418","0.0-8.5-0.5","5c519ec789254700019f7934","","","","","","","","","","4","true","0","","","","","",""
"html-keyboard-response","19","227432","0.0-8.5-1.5","5c519ec789254700019f7934","null","<b>Correct!</b>","null","","","","","","","","","","model_learning","click_correct","0","","",""
"html-button-response","20","230771","0.0-8.6-0.6","5c519ec789254700019f7934","","","","","","","","","","3","true","0","","","","","",""
"html-keyboard-response","21","231786","0.0-8.6-1.6","5c519ec789254700019f7934","null","<b>Correct!</b>","null","","","","","","","","","","model_learning","click_correct","0","","",""
"html-button-response","22","232961","0.0-8.7-0.7","5c519ec789254700019f7934","","","","","","","","","","4","true","0","","","","","",""
"html-keyboard-response","23","233970","0.0-8.7-1.7","5c519ec789254700019f7934","null","<b>Correct!</b>","null","","","","","","","","","","model_learning","click_correct","0","","",""
"html-button-response","24","237731","0.0-8.8-0.8","5c519ec789254700019f7934","","","","","","","","","","2","true","0","","","","","",""
"html-keyboard-response","25","238735","0.0-8.8-1.8","5c519ec789254700019f7934","null","<b>Correct!</b>","null","","","","","","","","","","model_learning","click_correct","0","","",""
"html-button-response","26","239560","0.0-8.9-0.9","5c519ec789254700019f7934","","","","","","","","","","1","true","0","","","","","",""
