"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","view_history","choice","is_correct","counterbalance","phase","trial_name","trial_num","correct_response","counter_correct","counter_errors"
"pavlovia","0","1536","0.0-0.0","662f798279ec5f7604eaaaa0","","","","","","","","","","","","","","","","","",""
"html-button-response","1","25458","0.0-1.0","662f798279ec5f7604eaaaa0","23916","<h2><b>Consent to participate in a research:</b></h2><p style='text-align: left;'><strong>Greetings and thank you for your willingness to participate in this research.</strong> This study aims to examine learning mechanisms. Specifically, it seeks to improve and strengthen the diagnosis and treatment of mental disorders in the future. Hence, your participation is highly valued and contributes significantly.</p><p style='text-align: left;'>For your participation, you will receive monetary compensation. Additionally, you could win a cash bonus based on your performance (details will be provided soon). Finally, at the end of the experiment, we would appreciate discussing the research questions further and sharing the results with you.</p><p style='text-align: left;'><b>Participation Criteria:</b></p><p style='text-align: left;'>The experiment is intended for young adults aged <strong>18 to 50</strong>. You cannot participate if you regularly use psychiatric or neurological medications, have a psychiatric/neurological diagnosis (including attention deficit hyperactivity disorder - ADHD), a history of head injuries, epilepsy, learning disabilities, or color blindness.</p><p style='text-align: left;'><b>Procedure:</b></p><p style='text-align: left;'>The study will be conducted online using your computer at home. During the experiment, we will track your learning patterns through a simple computer game. The game will take place in four separate sessions. The sessions should be completed in four consecutive days. <b><u>IMPORTANT: PAYMENT WILL BE GIVEN ONLY AFTER FINISHING ALL PARTS OF THE TASK</u></b> It means you will be paid only after completing day 4. The game will display images on the screen, and you will make choices during the game to maximize profits according to rules explained during the experiment itself. The whole experiment is expected to take about 90 minutes. Upon completion of participation, compensation will be provided as agreed, and we will offer a full debriefing regarding the research goals and hypotheses.</p><p style='text-align: left;'><b>Expected Risks and Termination of the Experiment:</b></p><p style='text-align: left;'>The expected risks and discomforts in this study are minimal and include potential discomfort during the performance of the computer task. You have the right to withdraw from the experiment at any stage. In case of withdrawal, partial compensation will be provided based on the duration of your participation.</p><p style='text-align: left;'><b>Compensation for Participation:</b></p><p style='text-align: left;'>For completing the experiment, money payment will be given. <b><u>IMPORTANT: PAYMENT WILL BE GIVEN ONLY AFTER FINISHING ALL PARTS OF THE TASK</u></b> It means you will be paid only after completing all parts. In addition a cash bonus will be awarded based on performance in the task. Throughout the task, you can collect points (gold coins). At the end of the task, the number of points you have accumulated will be calculated. The amount of points depends on your ability to perform the experiment well, similar to scoring in a computer game. </p><p style='text-align: left;'><b>Anonymity and Data Protection:</b></p><p style='text-align: left;'>The information collected during the experiment will be kept solely on the lab computers and will be linked only to your PROLIFIC ID.</p>","1","","","","","","","","","","","","","","",""
"html-button-response","2","36597","0.0-2.0","662f798279ec5f7604eaaaa0","11134","<h2><b>Consent to participate in a research:</b></h2><p><strong>You will be paid only after participating in each of the 4 days (including today).</p>","1","","","","","","","","","","","","","","",""
"html-keyboard-response","3","43438","0.0-3.0","662f798279ec5f7604eaaaa0","6838","Welcome to the experiment. We will start by asking you a short question and then move on. <br><br><b>Press any key to begin</b>"," ","","","","","","","","","","","","","","",""
"survey-text","4","105403","0.0-4.0","662f798279ec5f7604eaaaa0","61949","","{""Q0"":""Dogs are more active animals, opting to go out and play, while cats are more laid back, sleeping for most of their day""}","","","","","","","","","","","","","","",""
"preload","5","149110","0.0-5.0","662f798279ec5f7604eaaaa0","","","","true","false","[]","[]","[]","","","","","","","","","",""
"fullscreen","6","155352","0.0-6.0","662f798279ec5f7604eaaaa0","","","","true","","","","","","","","","","","","","",""
"instructions","7","357915","0.0-7.0","662f798279ec5f7604eaaaa0","202560","","","","","","","","[{""page_index"":0,""viewing_time"":6141},{""page_index"":1,""viewing_time"":12991},{""page_index"":2,""viewing_time"":6310},{""page_index"":3,""viewing_time"":11005},{""page_index"":4,""viewing_time"":7528},{""page_index"":5,""viewing_time"":8314},{""page_index"":6,""viewing_time"":37346},{""page_index"":7,""viewing_time"":24073},{""page_index"":8,""viewing_time"":20109},{""page_index"":9,""viewing_time"":19174},{""page_index"":10,""viewing_time"":18646},{""page_index"":11,""viewing_time"":7257},{""page_index"":12,""viewing_time"":6798},{""page_index"":13,""viewing_time"":8384},{""page_index"":14,""viewing_time"":3449},{""page_index"":15,""viewing_time"":5033}]","","","","","","","","",""
"html-button-response","8","362779","0.0-8.0-0.0","662f798279ec5f7604eaaaa0","","","","","","","","","","3","true","0","","","","","",""
"html-keyboard-response","9","363783","0.0-8.0-1.0","662f798279ec5f7604eaaaa0","null","<b>Correct!</b>","null","","","","","","","","","","model_learning","click_correct","0","","",""
