"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","view_history","question_order","phase","trial_name","trial_num","key_selected","person_selected","first_product","reward1","second_product","reward2","left_person","right_person","prob_product1","prob_product2","prob_product3","prob_product4","prob_product5","counterbalance"
"pavlovia","0","756","0.0-0.0","5c519ec789254700019f7934","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","9046","0.0-1.0","5c519ec789254700019f7934","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","19280","0.0-2.0","5c519ec789254700019f7934","","","","","","10231","<h2><b>Consent to participate in a research:</b></h2><p><strong>You will be paid only after participating in each of the 4 days (including today).</p>","1","","","","","","","","","","","","","","","","","","",""
"fullscreen","3","22460","0.0-3.0","5c519ec789254700019f7934","true","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","4","163729","0.0-4.0-0.0","5c519ec789254700019f7934","","","","","","141260","","","[{""page_index"":0,""viewing_time"":2373},{""page_index"":1,""viewing_time"":2861},{""page_index"":2,""viewing_time"":4434},{""page_index"":3,""viewing_time"":1447},{""page_index"":4,""viewing_time"":7297},{""page_index"":5,""viewing_time"":5782},{""page_index"":6,""viewing_time"":2874},{""page_index"":7,""viewing_time"":3971},{""page_index"":8,""viewing_time"":4933},{""page_index"":9,""viewing_time"":3700},{""page_index"":10,""viewing_time"":4788},{""page_index"":11,""viewing_time"":6916},{""page_index"":12,""viewing_time"":2686},{""page_index"":13,""viewing_time"":14445},{""page_index"":14,""viewing_time"":13719},{""page_index"":15,""viewing_time"":7802},{""page_index"":16,""viewing_time"":12057},{""page_index"":17,""viewing_time"":5916},{""page_index"":18,""viewing_time"":10232},{""page_index"":19,""viewing_time"":5784},{""page_index"":20,""viewing_time"":9665},{""page_index"":21,""viewing_time"":5235},{""page_index"":22,""viewing_time"":2315}]","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","5","234762","0.0-4.0-1.0","5c519ec789254700019f7934","","","","","","70996","","{""number_persons"":""5"",""number_candidates"":""2"",""number_products"":""2"",""choose_candidate"":""Press the 'S' or 'K' key with your LEFT or RIGHT hand"",""transported_product"":""False, each delivery person can only deliver two products"",""product_person"":""False, the book has the same demand no matter who is delivering it"",""value_change"":""True, as in real markets the demand may slowly change"",""game_goal"":""The goal is to choose the best I can and earn as much bonus money as I can"",""independence"":""False, each product has its own demand in the market"",""location"":""The demand for the products is the same regardless of whether the chosen delivery person appears on the left or on the right""}","","[0,1,2,3,4,5,6,7,8,9]","","","","","","","","","","","","","","","","",""
"instructions","6","254141","0.0-5.0","5c519ec789254700019f7934","","","","","","19371","","","[{""page_index"":0,""viewing_time"":2395},{""page_index"":1,""viewing_time"":5829},{""page_index"":2,""viewing_time"":3291},{""page_index"":3,""viewing_time"":3661},{""page_index"":4,""viewing_time"":2874},{""page_index"":5,""viewing_time"":1321}]","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","256901","0.0-6.0","5c519ec789254700019f7934","","","","","","2758","<div>We will now do a few practice trials. <br> Please be ready with your fingers on <b>s</b> and <b>k</b><br><br> <img class=keyboard src='images/examples/keyboard.png'>  <br><br> <b> Press any key to begin</b></div>"," ","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","8","259115","0.0-7.0-0.0","5c519ec789254700019f7934","","","","","","1195","<img class=left_person src='images/persons/person4.jpg'><img class=right_person src='images/persons/person3.jpg'><div class=""fixation"">+</div>","s","","","practice","choice","0","","","","","","","","","","","","","",""
"html-keyboard-response","9","259876","0.0-7.0-1.0","5c519ec789254700019f7934","","","","","","null","<img class=left_person src='images/persons/person4.jpg'><div class=""fixation"">+</div>","null","","","practice","show_choice","0","0","3","","","","","","","","","","","",""
"html-keyboard-response","10","260632","0.0-7.0-2.0","5c519ec789254700019f7934","","","","","","null","<img class=left_person src='images/persons/person4.jpg'><img class=product src='images/products/necklace.jpg'><div class=""fixation"">+</div>","null","","","practice","show_product1","0","","","3","","","","","","","","","","",""
"html-keyboard-response","11","261646","0.0-7.0-3.0","5c519ec789254700019f7934","","","","","","null","<img class=left_person src='images/persons/person4.jpg'><img class=reward src='images/one_coin.png'><img class=product src='images/products/necklace.jpg'>","null","","","practice","show_reward1","0","","","3","1","","","","","","","","","",""
"html-keyboard-response","12","262408","0.0-7.0-4.0","5c519ec789254700019f7934","","","","","","null","<img class=left_person src='images/persons/person4.jpg'><div class=""fixation"">+</div>","null","","","practice","show_choice","0","0","3","","","","","","","","","","","",""
"html-keyboard-response","13","263163","0.0-7.0-5.0","5c519ec789254700019f7934","","","","","","null","<img class=left_person src='images/persons/person4.jpg'><img class=product src='images/products/printer.jpg'><div class=""fixation"">+</div>","null","","","practice","show_product2","0","","","","","4","","","","","","","","",""
"html-keyboard-response","14","264168","0.0-7.0-6.0","5c519ec789254700019f7934","","","","","","null","<img class=left_person src='images/persons/person4.jpg'><img class=reward src='images/zero_coins.png'><img class=product src='images/products/printer.jpg'>","null","","","practice","show_reward2","0","0","3","3","1","4","0","","","","","","","",""
"html-keyboard-response","15","266401","0.0-7.0-0.1","5c519ec789254700019f7934","","","","","","2069","<img class=left_person src='images/persons/person5.jpg'><img class=right_person src='images/persons/person4.jpg'><div class=""fixation"">+</div>","s","","","practice","choice","1","","","","","","","","","","","","","",""
"html-keyboard-response","16","267164","0.0-7.0-1.1","5c519ec789254700019f7934","","","","","","null","<img class=left_person src='images/persons/person5.jpg'><div class=""fixation"">+</div>","null","","","practice","show_choice","1","0","4","","","","","","","","","","","",""
